age,in_incidence_rates,in_prevalence_rates,in_remission_rates,in_mortality_rates,out_incidence_rates,out_prevalence_rates,out_remission_rates,out_case_fatality_rates,out_duration_years,out_mortality_rates,out_rr_mortality_number,out_age_of_onset_years,disease,sex,in_case_fatality_rates,qimd
61,0.0028585418,0.0566730025,0,0.0008401012,0.0033760908,0.0566730025,0,0.0148226662,16.7927700979,0.0008401012,2.6369687993,61.5,chd,women,,1 most deprived
62,0.0029189984,0.0610889444,0,0.0009471718,0.0035849033,0.0610889444,0,0.015503751,16.1845025731,0.0009471718,2.5595472427,62.5,chd,women,,1 most deprived
63,0.0029770869,0.0657175807,0,0.0010608023,0.0038202096,0.0657175807,0,0.0161407272,15.5846308793,0.0010608023,2.4916453971,63.5,chd,women,,1 most deprived
64,0.0030340866,0.0705689758,0,0.0011823816,0.0040657489,0.0705689758,0,0.0167538123,14.9909923879,0.0011823816,2.430960246,64.5,chd,women,,1 most deprived
65,0.0030912769,0.0756551941,0,0.0013165272,0.0043493813,0.0756551941,0,0.0174004389,14.4023932731,0.0013165272,2.376397242,65.5,chd,women,,1 most deprived
66,0.0031499372,0.0809891271,0,0.0014679972,0.0046537666,0.0809891271,0,0.0181245347,13.8189026151,0.0014679972,2.3253357791,66.5,chd,women,,1 most deprived
67,0.0032113468,0.0865704665,0,0.0016415497,0.0049782797,0.0865704665,0,0.0189605878,13.2417302847,0.0016415497,2.2743821257,67.5,chd,women,,1 most deprived
68,0.0032767852,0.0923879865,0,0.0018417518,0.0053102139,0.0923879865,0,0.0199334436,12.6730625197,0.0018417518,2.2211028938,68.5,chd,women,,1 most deprived
69,0.0033436304,0.0984267179,0,0.002068777,0.0056609235,0.0984267179,0,0.0210168008,12.1152005597,0.002068777,2.1658991069,69.5,chd,women,,1 most deprived
70,0.0034086165,0.1046678994,0,0.0023184054,0.0060072462,0.1046678994,0,0.0221483445,11.5695018179,0.0023184054,2.1090315956,70.5,chd,women,,1 most deprived
71,0.0034720569,0.1110884516,0,0.0025862261,0.0063555405,0.1110884516,0,0.0232789102,11.0361119322,0.0025862261,2.0520561017,71.5,chd,women,,1 most deprived
72,0.0035342651,0.1176544486,0,0.002867828,0.0066656122,0.1176544486,0,0.0243730626,10.5140212691,0.002867828,1.9972562244,72.5,chd,women,,1 most deprived
73,0.0035955545,0.1243212018,0,0.0031594538,0.0069462539,0.1243212018,0,0.0254116514,10.001215962,0.0031594538,1.9462764109,73.5,chd,women,,1 most deprived
74,0.0036562385,0.1310378245,0,0.0034723741,0.0071805483,0.1310378245,0,0.026497031,9.495863608,0.0034723741,1.9007814919,74.5,chd,women,,1 most deprived
75,0.0037166305,0.1377477052,0,0.003832888,0.0074099676,0.1377477052,0,0.0278234276,8.9978584519,0.003832888,1.8634536148,75.5,chd,women,,1 most deprived
76,0.003777044,0.1443895247,0,0.0042679478,0.007633526,0.1443895247,0,0.029556578,8.5091401196,0.0042679478,1.8345994272,76.5,chd,women,,1 most deprived
77,0.0038377925,0.150909484,0,0.004804506,0.0079249391,0.150909484,0,0.0318349908,8.0334382475,0.004804506,1.8127070015,77.5,chd,women,,1 most deprived
78,0.0038991892,0.1572640645,0,0.0054676107,0.00828714,0.1572640645,0,0.0347650326,7.5758952591,0.0054676107,1.7959368698,78.5,chd,women,,1 most deprived
79,0.0039615477,0.1634103431,0,0.0062385094,0.008726966,0.1634103431,0,0.0381749257,7.1409594138,0.0062385094,1.7810855788,79.5,chd,women,,1 most deprived
80,0.0040234014,0.1693059417,0,0.0070546493,0.0091590279,0.1693059417,0,0.041666153,6.7295870303,0.0070546493,1.7638595938,80.5,chd,women,,1 most deprived
81,0.0040833097,0.1749100091,0,0.0078515732,0.0095474157,0.1749100091,0,0.044887583,6.338328038,0.0078515732,1.7437704146,81.5,chd,women,,1 most deprived
82,0.0041416258,0.1802058891,0,0.0085648239,0.0098595718,0.1802058891,0,0.0475267432,5.9592440053,0.0085648239,1.7223599491,82.5,chd,women,,1 most deprived
83,0.0041987023,0.1852107073,0,0.0091362526,0.0100859288,0.1852107073,0,0.0493281318,5.5805763597,0.0091362526,1.6992839806,83.5,chd,women,,1 most deprived
84,0.0042548922,0.1899492733,0,0.0096528062,0.0102812926,0.1899492733,0,0.0508174024,5.1927436869,0.0096528062,1.673077179,84.5,chd,women,,1 most deprived
85,0.0043105483,0.1944515552,0,0.0103465269,0.0107219713,0.1944515552,0,0.0532087263,4.7959269218,0.0103465269,1.6470847915,85.5,chd,women,,1 most deprived
86,0.0043660235,0.1987520354,0,0.0114557653,0.0116102185,0.1987520354,0,0.0576388696,4.4023089949,0.0114557653,1.6204894384,86.5,chd,women,,1 most deprived
87,0.0044216706,0.2028846172,0,0.0132188723,0.0132155925,0.2028846172,0,0.065155586,4.0373584814,0.0132188723,1.5872298682,87.5,chd,women,,1 most deprived
88,0.0044778426,0.2068786005,0,0.0158536445,0.0157022245,0.2068786005,0,0.0766346043,3.7421359946,0.0158536445,1.5455092652,88.5,chd,women,,1 most deprived
89,0.0045348923,0.2107650978,0,0.0191051366,0.0188627488,0.2107650978,0,0.0906502276,3.5588585952,0.0191051366,1.5124509385,89.5,chd,women,,1 most deprived
20,0.000152652,0.0008271713,0,4.9518e-06,5.44634e-05,0.0008271713,0,0.005986212,43.3585860274,4.9518e-06,11.3995132514,20.5,stroke,men,,1 most deprived
21,0.0001733066,0.0009238338,0,4.2705e-06,9.15259e-05,0.0009238338,0,0.0046224604,42.6128513805,4.2705e-06,8.1535344422,21.5,stroke,men,,1 most deprived
22,0.0001949523,0.0010315091,0,3.839e-06,6.93009e-05,0.0010315091,0,0.0037216873,41.8174758898,3.839e-06,6.2702235326,22.5,stroke,men,,1 most deprived
23,0.0002162966,0.0011513905,0,3.9289e-06,0.0001092863,0.0011513905,0,0.003412222,40.9952187065,3.9289e-06,5.5445439961,23.5,stroke,men,,1 most deprived
24,0.000236264,0.0012847903,0,4.6574e-06,8.97633e-05,0.0012847903,0,0.0036249545,40.168908922,4.6574e-06,5.6333875394,24.5,stroke,men,,1 most deprived
25,0.0002553459,0.0014331505,0,5.9873e-06,0.0001331649,0.0014331505,0,0.004177601,39.3553210628,5.9873e-06,6.1814296688,25.5,stroke,men,,1 most deprived
26,0.0002740334,0.0015980905,0,7.8748e-06,0.0001170736,0.0015980905,0,0.0049274592,38.5641643343,7.8748e-06,6.9410092976,26.5,stroke,men,,1 most deprived
27,0.0002928177,0.0017814402,0,1.02758e-05,0.0001639998,0.0017814402,0,0.0057679964,37.8001261778,1.02758e-05,7.710719568,27.5,stroke,men,,1 most deprived
