 age,eq5d_r,sex,productivity_cost
38,0.05,men,21503.73196
38,0.1,men,23324.19462
38,0.15,men,25162.53278
38,0.2,men,27003.77839
38,0.25,men,28833.44301
38,0.3,men,30637.93835
38,0.35,men,32404.92028
38,0.4,men,34123.54272
38,0.45,men,35784.61665
38,0.5,men,37380.67813
38,0.55,men,38905.97539
38,0.6,men,40356.38938
38,0.65,men,41729.3041
38,0.7,men,43023.44316
38,0.75,men,44238.6875
38,0.8,men,45375.8872
38,0.85,men,46436.67716
38,0.9,men,47423.30422
38,0.95,men,48338.4703
38,1,men,49185.19422
39,0,men,20175.5984
39,0.05,men,21994.71868
39,0.1,men,23845.22697
39,0.15,men,25711.78088
39,0.2,men,27579.11239
39,0.25,men,29432.51116
39,0.3,men,31258.24855
39,0.35,men,33043.91977
39,0.4,men,34778.69134
39,0.45,men,36453.45042
39,0.5,men,38060.86096
39,0.55,men,39595.33821
39,0.6,men,41052.95683
39,0.65,men,42431.30987
39,0.7,men,43729.33549
39,0.75,men,44947.12678
39,0.8,men,46085.73738
39,0.85,men,47146.9929
39,0.9,men,48133.31522
39,0.95,men,49047.5642
39,1,men,49892.89904
40,0,men,21967.58324
40,0.05,men,23941.71708
40,0.1,men,25948.46219
40,0.15,men,27971.08337
40,0.2,men,29992.97608
40,0.25,men,31998.19202
40,0.3,men,33971.89685
40,0.35,men,35900.73613
40,0.4,men,37773.0961
40,0.45,men,39579.25677
40,0.5,men,41311.44335
40,0.55,men,42963.78945
40,0.6,men,44532.22915
40,0.65,men,46014.33727
40,0.7,men,47409.13597
40,0.75,men,48716.88476
40,0.8,men,49938.86731
40,0.85,men,51077.18588
40,0.9,men,52134.57071
40,0.95,men,53114.20905
40,1,men,54019.5961
41,0,men,21951.9869
41,0.05,men,23922.74981
41,0.1,men,25925.39414
41,0.15,men,27943.15175
41,0.2,men,29959.40918
41,0.25,men,31958.23426
41,0.3,men,33924.83297
41,0.35,men,35845.9129
41,0.4,men,37709.94041
41,0.45,men,39507.28914
41,0.5,men,41230.28668
41,0.55,men,42873.17301
