"year","sex","age","qimd","pops"
2001,2,9,1,74054
2001,2,9,2,63227
2001,2,9,3,59090
2001,2,9,4,58934
2001,2,9,5,62199
2001,2,10,1,74395
2001,2,10,2,63420
2001,2,10,3,60019
2001,2,10,4,60819
2001,2,10,5,63644
2001,2,11,1,72654
2001,2,11,2,62413
2001,2,11,3,59217
2001,2,11,4,59730
2001,2,11,5,63156
2001,2,12,1,71479
2001,2,12,2,61830
2001,2,12,3,58678
2001,2,12,4,59385
2001,2,12,5,62351
2001,2,13,1,72179
2001,2,13,2,62453
2001,2,13,3,59279
2001,2,13,4,59991
2001,2,13,5,63096
2001,2,14,1,71508
2001,2,14,2,60627
2001,2,14,3,57400
2001,2,14,4,58715
2001,2,14,5,61293
2001,2,15,1,69788
2001,2,15,2,59784
2001,2,15,3,57116
2001,2,15,4,57438
2001,2,15,5,60761
2001,2,16,1,70087
2001,2,16,2,59645
2001,2,16,3,56848
2001,2,16,4,57998
2001,2,16,5,60820
2001,2,17,1,66370
2001,2,17,2,57171
2001,2,17,3,55191
2001,2,17,4,56494
2001,2,17,5,59908
2001,2,18,1,66329
2001,2,18,2,57420
2001,2,18,3,54524
2001,2,18,4,55035
2001,2,18,5,56731
2001,2,19,1,71063
2001,2,19,2,62603
2001,2,19,3,55349
2001,2,19,4,52796
2001,2,19,5,49265
2001,2,20,1,77235
2001,2,20,2,70552
2001,2,20,3,60147
2001,2,20,4,52331
2001,2,20,5,44507
2001,2,21,1,78347
2001,2,21,2,72368
2001,2,21,3,60506
2001,2,21,4,52320
2001,2,21,5,43949
2001,2,22,1,74656
2001,2,22,2,69928
2001,2,22,3,58646
2001,2,22,4,51536
2001,2,22,5,44534
2001,2,23,1,71126
2001,2,23,2,67372
2001,2,23,3,57158
2001,2,23,4,49818
2001,2,23,5,43394
2001,2,24,1,71070
2001,2,24,2,68789
2001,2,24,3,58471
2001,2,24,4,49761
2001,2,24,5,43735
2001,2,25,1,73103
2001,2,25,2,71848
2001,2,25,3,60611
2001,2,25,4,51741
2001,2,25,5,44078
2001,2,26,1,74471
2001,2,26,2,75295
2001,2,26,3,63884
2001,2,26,4,54205
2001,2,26,5,46773
2001,2,27,1,75937
2001,2,27,2,76931
2001,2,27,3,66972
2001,2,27,4,57703
2001,2,27,5,50027
2001,2,28,1,79430
2001,2,28,2,80517
2001,2,28,3,70674
2001,2,28,4,62425
2001,2,28,5,54809
2001,2,29,1,83049
2001,2,29,2,83751
2001,2,29,3,75225
2001,2,29,4,66745
2001,2,29,5,59929
2001,2,30,1,83844
2001,2,30,2,84706
2001,2,30,3,76152
2001,2,30,4,70165
2001,2,30,5,64663
2001,2,31,1,82623
2001,2,31,2,82276
2001,2,31,3,75225
2001,2,31,4,70094
2001,2,31,5,65595
2001,2,32,1,83066
2001,2,32,2,83190
2001,2,32,3,77159
2001,2,32,4,73051
2001,2,32,5,70298
2001,2,33,1,82287
2001,2,33,2,82498
2001,2,33,3,77335
2001,2,33,4,74470
2001,2,33,5,73523
2001,2,34,1,82204
2001,2,34,2,82698
2001,2,34,3,78659
2001,2,34,4,77828
2001,2,34,5,77220
2001,2,35,1,79626
2001,2,35,2,81695
2001,2,35,3,79144
2001,2,35,4,79869
2001,2,35,5,80204
2001,2,36,1,79177
2001,2,36,2,80905
2001,2,36,3,78552
2001,2,36,4,80589
2001,2,36,5,82687
2001,2,37,1,76480
2001,2,37,2,78899
2001,2,37,3,78236
2001,2,37,4,80581
2001,2,37,5,83900
2001,2,38,1,74827
2001,2,38,2,76813
2001,2,38,3,76563
2001,2,38,4,79653
2001,2,38,5,83456
2001,2,39,1,72724
2001,2,39,2,74476
2001,2,39,3,74876
2001,2,39,4,77352
2001,2,39,5,82144
2001,2,40,1,69773
2001,2,40,2,71622
2001,2,40,3,72406
2001,2,40,4,75969
2001,2,40,5,81052
2001,2,41,1,66406
2001,2,41,2,68157
2001,2,41,3,70371
2001,2,41,4,73302
2001,2,41,5,77925
2001,2,42,1,63713
2001,2,42,2,66316
2001,2,42,3,69130
2001,2,42,4,72600
2001,2,42,5,77198
2001,2,43,1,62552
2001,2,43,2,64736
2001,2,43,3,67985
2001,2,43,4,72272
2001,2,43,5,76349
2001,2,44,1,60557
2001,2,44,2,62765
2001,2,44,3,65546
2001,2,44,4,70213
2001,2,44,5,74036
2001,2,45,1,57147
2001,2,45,2,60572
2001,2,45,3,64371
2001,2,45,4,68275
2001,2,45,5,71734
2001,2,46,1,54665
2001,2,46,2,58262
2001,2,46,3,63382
2001,2,46,4,67475
2001,2,46,5,70807
2001,2,47,1,54232
2001,2,47,2,58211
2001,2,47,3,63802
2001,2,47,4,68631
2001,2,47,5,71594
2001,2,48,1,52990
2001,2,48,2,57438
2001,2,48,3,63321
2001,2,48,4,68046
2001,2,48,5,70990
2001,2,49,1,51795
2001,2,49,2,56716
2001,2,49,3,63029
2001,2,49,4,67738
2001,2,49,5,71010
2001,2,50,1,51208
2001,2,50,2,56203
2001,2,50,3,63721
2001,2,50,4,69163
2001,2,50,5,71359
2001,2,51,1,51735
2001,2,51,2,57851
2001,2,51,3,65837
2001,2,51,4,71746
2001,2,51,5,74504
2001,2,52,1,52788
2001,2,52,2,58955
2001,2,52,3,67931
2001,2,52,4,74745
2001,2,52,5,77084
2001,2,53,1,54845
2001,2,53,2,62797
2001,2,53,3,73375
2001,2,53,4,81305
2001,2,53,5,84196
2001,2,54,1,56800
2001,2,54,2,65765
2001,2,54,3,77265
2001,2,54,4,86350
2001,2,54,5,89137
2001,2,55,1,47281
2001,2,55,2,53903
2001,2,55,3,63627
2001,2,55,4,70332
2001,2,55,5,71378
2001,2,56,1,45498
2001,2,56,2,52746
2001,2,56,3,62488
2001,2,56,4,69064
2001,2,56,5,69631
2001,2,57,1,44821
2001,2,57,2,51541
2001,2,57,3,60496
2001,2,57,4,67370
2001,2,57,5,67788
2001,2,58,1,44774
2001,2,58,2,49905
2001,2,58,3,58019
2001,2,58,4,63471
2001,2,58,5,63040
2001,2,59,1,41962
2001,2,59,2,46251
2001,2,59,3,52719
2001,2,59,4,56468
2001,2,59,5,54907
2001,2,60,1,41415
2001,2,60,2,43821
2001,2,60,3,49307
2001,2,60,4,52267
2001,2,60,5,50353
2001,2,61,1,43244
2001,2,61,2,45688
2001,2,61,3,51384
2001,2,61,4,54549
2001,2,61,5,52845
2001,2,62,1,43961
2001,2,62,2,45780
2001,2,62,3,51433
2001,2,62,4,54673
2001,2,62,5,52725
2001,2,63,1,43575
2001,2,63,2,46025
2001,2,63,3,50663
2001,2,63,4,53415
2001,2,63,5,51895
2001,2,64,1,42815
2001,2,64,2,44984
2001,2,64,3,49828
2001,2,64,4,52092
2001,2,64,5,50413
2001,2,65,1,41924
2001,2,65,2,44224
2001,2,65,3,48650
2001,2,65,4,50258
2001,2,65,5,49117
2001,2,66,1,40895
2001,2,66,2,42659
2001,2,66,3,47509
2001,2,66,4,48845
2001,2,66,5,47522
2001,2,67,1,39806
2001,2,67,2,41396
2001,2,67,3,45563
2001,2,67,4,47153
2001,2,67,5,45559
2001,2,68,1,40067
2001,2,68,2,41625
2001,2,68,3,46116
2001,2,68,4,47052
2001,2,68,5,44632
2001,2,69,1,40524
2001,2,69,2,42566
2001,2,69,3,46433
2001,2,69,4,47092
2001,2,69,5,44549
2001,2,70,1,41445
2001,2,70,2,43520
2001,2,70,3,46468
2001,2,70,4,47252
2001,2,70,5,44854
2001,2,71,1,40882
2001,2,71,2,42919
2001,2,71,3,45813
2001,2,71,4,46406
2001,2,71,5,43597
2001,2,72,1,39591
2001,2,72,2,42001
2001,2,72,3,44440
2001,2,72,4,44613
2001,2,72,5,41923
2001,2,73,1,38446
2001,2,73,2,40504
2001,2,73,3,43189
2001,2,73,4,42823
2001,2,73,5,39712
2001,2,74,1,38888
2001,2,74,2,40732
2001,2,74,3,42681
2001,2,74,4,41827
2001,2,74,5,38860
2001,2,75,1,38419
2001,2,75,2,40311
2001,2,75,3,42112
2001,2,75,4,41457
2001,2,75,5,37542
2001,2,76,1,37024
2001,2,76,2,39726
2001,2,76,3,41087
2001,2,76,4,40022
2001,2,76,5,36232
2001,2,77,1,36354
2001,2,77,2,38245
2001,2,77,3,40611
2001,2,77,4,39041
2001,2,77,5,35538
2001,2,78,1,35189
2001,2,78,2,37675
2001,2,78,3,40037
2001,2,78,4,38023
2001,2,78,5,34655
2001,2,79,1,36246
2001,2,79,2,38455
2001,2,79,3,39839
2001,2,79,4,38471
2001,2,79,5,34275
2001,2,80,1,35929
2001,2,80,2,38735
2001,2,80,3,40815
2001,2,80,4,39214
2001,2,80,5,34620
2001,2,81,1,34626
2001,2,81,2,36769
2001,2,81,3,38276
2001,2,81,4,36278
2001,2,81,5,31804
2001,2,82,1,24536
2001,2,82,2,26208
2001,2,82,3,27324
2001,2,82,4,25808
2001,2,82,5,22627
2001,2,83,1,19891
2001,2,83,2,21332
2001,2,83,3,22501
2001,2,83,4,21415
2001,2,83,5,18488
2001,2,84,1,19431
2001,2,84,2,21782
2001,2,84,3,23612
2001,2,84,4,22429
2001,2,84,5,19890
2001,2,85,1,18463
2001,2,85,2,20881
2001,2,85,3,23235
2001,2,85,4,22396
2001,2,85,5,19281
2001,2,86,1,18273
2001,2,86,2,20701
2001,2,86,3,22696
2001,2,86,4,21650
2001,2,86,5,18608
2001,2,87,1,16470
2001,2,87,2,18451
2001,2,87,3,20287
2001,2,87,4,19504
2001,2,87,5,16697
2001,2,88,1,14231
2001,2,88,2,16132
2001,2,88,3,17802
2001,2,88,4,16883
2001,2,88,5,14571
2001,2,89,1,11795
2001,2,89,2,13360
2001,2,89,3,14974
2001,2,89,4,14392
2001,2,89,5,12326
2001,2,"90+",1,42891
2001,2,"90+",2,49710
2001,2,"90+",3,55435
2001,2,"90+",4,53398
2001,2,"90+",5,46317
2002,1,0,1,73775
2002,1,0,2,59228
2002,1,0,3,52685
2002,1,0,4,49456
2002,1,0,5,50931
2002,1,1,1,70986
2002,1,1,2,57538
2002,1,1,3,51762
2002,1,1,4,51086
2002,1,1,5,53803
2002,1,2,1,72207
2002,1,2,2,58445
2002,1,2,3,53806
2002,1,2,4,53438
2002,1,2,5,55967
2002,1,3,1,72620
2002,1,3,2,59828
2002,1,3,3,55381
2002,1,3,4,54934
2002,1,3,5,58865
2002,1,4,1,73334
2002,1,4,2,61090
2002,1,4,3,55991
2002,1,4,4,56092
2002,1,4,5,59952
2002,1,5,1,75901
2002,1,5,2,62348
2002,1,5,3,58184
2002,1,5,4,57445
2002,1,5,5,61055
2002,1,6,1,73874
2002,1,6,2,62319
2002,1,6,3,56977
2002,1,6,4,57508
2002,1,6,5,62245
2002,1,7,1,73252
2002,1,7,2,61788
2002,1,7,3,57925
2002,1,7,4,58353
2002,1,7,5,62614
2002,1,8,1,74059
2002,1,8,2,63438
2002,1,8,3,59641
2002,1,8,4,59752
2002,1,8,5,64397
2002,1,9,1,74913
2002,1,9,2,64036
2002,1,9,3,60130
2002,1,9,4,60407
2002,1,9,5,64541
2002,1,10,1,76555
